škatla,7268
mnog,7266
zazreti,7266
bolnišnica,7264
pest,7264
problem,7260
stavba,7252
žalosten,7226
predmet,7226
omara,7218
prihodnost,7218
veljati,7202
skupen,7198
bok,7146
princ,7140
običajen,7140
sovražiti,7140
zadeti,7132
resen,7130
izpustiti,7124
neumen,7120
znak,7114
groza,7112
riba,7104
žalost,7102
polovica,7096
hčerka,7090
mesten,7088
postava,7086
osem,7082
vrteti,7048
boj,7040
nož,7036
park,7024
prah,7020
ograja,7004
stavek,7002
naokrog,7000
dim,6996
izkušnja,6996
stranka,6996
pozdraviti,6994
bolezen,6982
klop,6976
ubog,6974
očetov,6972
deloven,6948
doživeti,6938
kost,6936
bled,6922
mrzel,6920
starec,6892
pravilo,6888
prebuditi,6878
morilec,6872
točka,6864
zavzdihniti,6854
notranji,6844
pomiriti,6840
padati,6830
zmoči,6806
račun,6802
proč,6790
presenetiti,6780
cilj,6776
košček,6774
prenesti,6772
predsednik,6766
grof,6748
pištola,6744
odhajati,6732
podatek,6730
zdrav,6726
zaklicati,6724
skodelica,6724
mladenič,6704
kamnit,6700
možgani,6698
strašen,6692
avtobus,6682
kričati,6680
dokaz,6668
nemogoč,6662
kdor,6656
jemati,6648
ogledalo,6636
odmakniti,6600
strop,6600
prizor,6600
okus,6590
urediti,6568
natanko,6564
včeraj,6560
odhod,6548
zgodovina,6538
prost,6536
zlasti,6530
bogat,6530
svetilka,6522
žrtev,6504
otroški,6500
zašepetati,6494
preveriti,6468
nevarnost,6466
potreba,6456
oseben,6452
dvigati,6420
vrv,6414
pristati,6412
očala,6412
nasmešek,6406
velikanski,6404
premisliti,6372
vojaški,6372
most,6366
povsod,6354
palica,6342
telefonski,6338
naposled,6330
ukazati,6326
odkimati,6322
torba,6322
ravnati,6320
nekdanji,6308
družinski,6296
tresti,6296
stolp,6284
stik,6264
bistvo,6260
neznan,6240
neki,6220
oni,6220
škoda,6216
predstaviti,6216
sprememba,6202
hrib,6192
ustvariti,6182
lahek,6180
kopalnica,6180
popraviti,6176
redek,6168
breg,6166
cena,6154
televizija,6144
zapeljati,6138
restavracija,6124
poročilo,6116
podrobnost,6112
pult,6108
hudič,6102
napolniti,6094
skomigniti,6090
vožnja,6082
naključje,6074
računalnik,6070
ser,6068
krožnik,6062
zadrega,6052
kraljev,6050
nežen,6050
odeja,6048
napraviti,6040
uiti,6038
slovenski,6032
zgoraj,6030
lastnik,6018
zadnjič,6016
posel,6012
odločitev,6004
veja,5996
deliti,5994
plošča,5990
ponavljati,5976
morski,5964
učitelj,5946
jezero,5944
spuščati,5944
loviti,5944
zadaj,5940
široko,5936
zapisati,5932
razlagati,5930
oder,5922
naleteti,5918
stresti,5912
vsakdo,5912
ameriški,5910
šolski,5908
prenašati,5904
zlesti,5900
nekdaj,5886
prisiliti,5874
oddelek,5850
ogledovati,5846
pošten,5838
ponavadi,5834
nocoj,5834
nastati,5832
jajce,5828
moliti,5816
motor,5814
izreči,5810
krik,5808
poletje,5796
darilo,5792
veseliti,5768
prodati,5764
bližnji,5760
podjetje,5758
sovražnik,5748
prihod,5746
dojeti,5746
preseliti,5742
pojem,5726
uničiti,5722
zlahka,5722
oblast,5716
zamrmrati,5712
dihati,5704
izdati,5698
tok,5698
vselej,5688
obdržati,5684
nekajkrat,5680
moker,5680
sir,5678
mnogo,5674
mogočen,5670
roman,5668
gospodar,5660
ptica,5652
navsezadnje,5648
letalo,5644
duhovnik,5644
srebrn,5642
sestanek,5624
prepustiti,5620
slušalka,5606
vsakič,5602
steklo,5600
sneti,5576
les,5552
gib,5552
presenečenje,5542
stopati,5530
železen,5528
nemški,5524
vera,5522
upreti,5516
tanek,5514
obenem,5508
seznam,5502
potovati,5502
glasen,5486
četudi,5482
poljub,5476
stiskati,5472
sprva,5470
premagati,5468
kotiček,5462
odriniti,5460
plesati,5460
trak,5458
posoda,5456
dolina,5454
srednji,5452
grozen,5450
mami,5442
poskus,5440
občutiti,5438
ples,5436
kraljica,5430
vogal,5412
šef,5410
sleči,5404
zavesa,5400
premišljevati,5396
drugič,5384
trideset,5380
nasproti,5378
vročina,5376
pesek,5372
kolega,5350
lepota,5348
sosed,5338
mraz,5334
zapor,5330
nedelja,5330
želodec,5328
koder,5328
razlika,5320
pohiteti,5320
napotiti,5308
tovariš,5302
nikjer,5300
kavč,5288
